GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,point_total,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2018-04-07,1610612745,1610612760,2017,102.0,108.0,210.0,109.0,99.6,109.75,107.9
2018-04-07,1610612744,1610612740,2017,120.0,126.0,246.0,106.75,104.65,111.35,107.4
2018-04-07,1610612759,1610612757,2017,116.0,105.0,221.0,105.6,103.0,108.8,101.2
2018-04-06,1610612765,1610612742,2017,113.0,106.0,219.0,103.9,102.75,103.4,105.55
2018-04-06,1610612753,1610612766,2017,100.0,137.0,237.0,97.94999999999999,102.15,111.5,111.0
2018-04-06,1610612755,1610612739,2017,132.0,130.0,262.0,114.44999999999999,103.55,112.19999999999999,108.05
2018-04-06,1610612764,1610612737,2017,97.0,103.0,200.0,105.15,107.9,101.55,111.9
2018-04-06,1610612738,1610612741,2017,111.0,104.0,215.0,103.55,102.05000000000001,102.69999999999999,110.05
2018-04-06,1610612752,1610612748,2017,122.0,98.0,220.0,104.94999999999999,113.6,111.35,105.55
2018-04-06,1610612761,1610612754,2017,92.0,73.0,165.0,112.0,105.8,104.5,99.75
2018-04-06,1610612763,1610612758,2017,93.0,94.0,187.0,98.9,111.05,99.6,104.44999999999999
2018-04-06,1610612756,1610612740,2017,103.0,122.0,225.0,103.15,114.75,112.15,108.65
2018-04-06,1610612747,1610612750,2017,96.0,113.0,209.0,111.4,108.44999999999999,108.75,111.15
2018-04-05,1610612754,1610612744,2017,126.0,106.0,232.0,103.3,100.0,107.3,104.5
2018-04-05,1610612739,1610612764,2017,119.0,115.0,234.0,112.69999999999999,108.44999999999999,105.3,107.6
2018-04-05,1610612745,1610612757,2017,96.0,94.0,190.0,110.2,100.0,108.65,101.95
2018-04-05,1610612749,1610612751,2017,111.0,119.0,230.0,111.2,111.80000000000001,108.9,113.44999999999999
2018-04-05,1610612762,1610612746,2017,117.0,95.0,212.0,106.3,95.55,111.30000000000001,110.45
2018-04-05,1610612743,1610612750,2017,100.0,96.0,196.0,117.25,115.25,109.6,111.85
2018-04-04,1610612765,1610612755,2017,108.0,115.0,223.0,103.25,102.4,113.75,103.25
2018-04-04,1610612753,1610612742,2017,105.0,100.0,205.0,97.9,103.0,103.5,106.5
2018-04-04,1610612737,1610612748,2017,86.0,115.0,201.0,103.15,111.9,110.94999999999999,106.8
2018-04-04,1610612761,1610612738,2017,96.0,78.0,174.0,113.15,108.0,105.65,103.4
2018-04-04,1610612740,1610612763,2017,123.0,95.0,218.0,110.85,109.69999999999999,99.15,110.25
2018-04-04,1610612747,1610612759,2017,122.0,112.0,234.0,110.6,106.9,104.95,101.95
2018-04-03,1610612739,1610612761,2017,112.0,106.0,218.0,111.8,108.65,113.95,107.3
2018-04-03,1610612755,1610612751,2017,121.0,95.0,216.0,112.9,103.6,108.95,112.94999999999999
2018-04-03,1610612748,1610612737,2017,101.0,98.0,199.0,111.55,108.44999999999999,103.15,112.05000000000001
2018-04-03,1610612752,1610612753,2017,73.0,97.0,170.0,106.94999999999999,114.65,98.6,104.8
2018-04-03,1610612741,1610612766,2017,120.0,114.0,234.0,101.6,110.44999999999999,111.1,111.7
2018-04-03,1610612745,1610612764,2017,120.0,104.0,224.0,109.2,99.35,105.15,106.1
2018-04-03,1610612749,1610612738,2017,106.0,102.0,208.0,112.05000000000001,113.4,106.6,103.7
2018-04-03,1610612760,1610612744,2017,107.0,111.0,218.0,110.0,108.35,107.15,104.9
2018-04-03,1610612742,1610612757,2017,115.0,109.0,224.0,103.19999999999999,106.75,108.0,101.05
2018-04-03,1610612743,1610612754,2017,107.0,104.0,211.0,117.95,115.25,103.19999999999999,100.0
2018-04-03,1610612762,1610612747,2017,117.0,110.0,227.0,105.3,94.55,110.75,106.45
2018-04-03,1610612756,1610612758,2017,97.0,94.0,191.0,102.35,116.5,100.6,104.75
2018-04-03,1610612746,1610612759,2017,113.0,110.0,223.0,110.85,110.0,104.7,102.4
2018-04-01,1610612766,1610612755,2017,102.0,119.0,221.0,111.15,111.9,111.65,103.95
2018-04-01,1610612741,1610612764,2017,113.0,94.0,207.0,101.19999999999999,110.8,105.55,106.19999999999999
2018-04-01,1610612759,1610612745,2017,100.0,83.0,183.0,105.5,104.3,111.0,100.05000000000001
2018-04-01,1610612746,1610612754,2017,104.0,111.0,215.0,111.30000000000001,109.6,102.8,100.25
2018-04-01,1610612737,1610612753,2017,94.0,88.0,182.0,103.8,113.80000000000001,99.55,105.8
2018-04-01,1610612751,1610612765,2017,96.0,108.0,204.0,110.55,114.44999999999999,103.15,103.35
2018-04-01,1610612739,1610612742,2017,98.0,87.0,185.0,112.05,109.8,103.69999999999999,107.05
2018-04-01,1610612740,1610612760,2017,104.0,109.0,213.0,111.9,110.05,110.6,108.85
2018-04-01,1610612750,1610612762,2017,97.0,121.0,218.0,110.3,111.1,105.9,95.15
2018-04-01,1610612743,1610612749,2017,128.0,125.0,253.0,117.30000000000001,114.4,111.9,112.94999999999999
2018-04-01,1610612744,1610612756,2017,117.0,107.0,224.0,108.0,105.9,102.8,116.9
2018-04-01,1610612757,1610612763,2017,113.0,98.0,211.0,107.75,101.1,99.15,110.05
2018-04-01,1610612747,1610612758,2017,83.0,84.0,167.0,112.19999999999999,106.9,101.30000000000001,106.25
2018-03-31,1610612764,1610612766,2017,107.0,93.0,200.0,105.65,106.25,112.6,111.8
2018-03-31,1610612752,1610612765,2017,109.0,115.0,224.0,105.94999999999999,114.05,102.1,104.05
2018-03-31,1610612738,1610612761,2017,110.0,99.0,209.0,107.05000000000001,104.25,115.15,106.95
