,GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,over_successful,under_successful
300,12/12/2017,21700403,1610612758,1610612756,2017,99,0.427,0.727,0.318,21,45,92,0.411,0.786,0.219,22,45,1,Pinnacle Sports,238,210.0,-102,191,5Dimes,19,210.0,-103,97.1,106.1,108.45,115.25,0,1
301,12/13/2017,21700408,1610612748,1610612757,2017,95,0.472,0.609,0.433,19,36,102,0.5,0.87,0.357,14,33,0,Heritage,169,204.0,-105,197,5Dimes,19,204.5,-105,99.4,102.0,102.25,102.6,0,1
302,12/13/2017,21700404,1610612754,1610612760,2017,95,0.449,0.667,0.355,18,42,100,0.409,0.625,0.448,26,52,0,Pinnacle Sports,238,213.0,-107,195,Bovada,999996,214.0,-105,108.75,107.35,100.55,100.55,0,1
303,12/13/2017,21700406,1610612764,1610612763,2017,93,0.468,0.5,0.409,21,44,87,0.383,0.938,0.357,18,47,1,5Dimes,19,199.0,-105,180,BetOnline,1096,200.5,-110,105.05,104.7,96.3,104.05,0,1
304,12/13/2017,21700407,1610612738,1610612743,2017,124,0.595,0.792,0.44,29,30,118,0.495,0.731,0.321,22,48,1,Heritage,169,208.5,-105,242,Bookmaker,93,210.0,-110,103.45,98.9,108.25,107.6,1,0
305,12/13/2017,21700405,1610612753,1610612746,2017,95,0.42,0.571,0.333,24,45,106,0.443,0.8,0.462,25,51,0,Pinnacle Sports,238,210.5,-104,201,Heritage,169,211.0,-105,103.1,111.15,104.6,110.9,0,1
306,12/13/2017,21700410,1610612740,1610612749,2017,115,0.563,0.8,0.52,35,41,108,0.463,0.632,0.296,23,38,1,5Dimes,19,217.5,-105,223,Pinnacle Sports,238,218.0,-105,112.1,112.7,102.95,103.45,1,0
307,12/13/2017,21700411,1610612756,1610612761,2017,109,0.446,0.794,0.333,20,41,115,0.435,0.839,0.346,16,45,0,Pinnacle Sports,238,221.0,100,224,Heritage,169,221.0,-105,106.95,114.4,112.15,102.8,1,0
308,12/13/2017,21700412,1610612745,1610612766,2017,108,0.443,0.684,0.378,24,45,96,0.414,0.741,0.19,14,56,1,5Dimes,19,219.5,-105,204,Pinnacle Sports,238,219.0,109,117.35,104.35,105.8,108.15,0,1
309,12/13/2017,21700409,1610612741,1610612762,2017,103,0.441,0.667,0.412,21,46,100,0.462,1.0,0.3,24,48,1,5Dimes,19,196.5,-103,203,Heritage,169,196.5,-105,97.75,108.3,103.6,101.65,1,0
310,12/14/2017,21700417,1610612744,1610612742,2017,112,0.603,0.778,0.5,35,41,97,0.451,0.765,0.345,25,31,1,Heritage,169,210.0,-105,209,Pinnacle Sports,238,210.5,-104,114.8,104.35,100.3,101.6,0,1
311,12/14/2017,21700416,1610612750,1610612758,2017,119,0.561,0.85,0.476,29,39,96,0.414,0.833,0.424,24,42,1,Pinnacle Sports,238,202.0,-102,215,Heritage,169,202.0,-105,106.3,104.1,96.75,105.0,1,0
312,12/14/2017,21700413,1610612737,1610612765,2017,91,0.457,0.615,0.355,28,34,105,0.456,0.833,0.433,26,46,0,Pinnacle Sports,238,205.5,-101,196,5Dimes,19,205.5,-105,105.45,109.9,101.2,102.85,0,1
313,12/14/2017,21700414,1610612751,1610612752,2017,104,0.446,0.783,0.286,21,43,111,0.461,0.864,0.5,23,40,0,5Dimes,19,212.0,-108,215,Heritage,169,213.0,-105,106.25,108.6,100.45,104.3,1,0
314,12/14/2017,21700415,1610612739,1610612747,2017,121,0.5,0.8,0.417,32,39,112,0.495,0.643,0.29,33,49,1,5Dimes,19,220.0,-108,233,Heritage,169,221.0,-105,113.35,105.65,106.5,108.3,1,0
315,12/15/2017,21700425,1610612763,1610612737,2017,96,0.462,0.706,0.48,21,43,94,0.442,0.875,0.387,27,35,1,Heritage,169,198.5,-105,190,Pinnacle Sports,238,199.0,-105,95.95,103.55,104.8,109.2,0,1
316,12/15/2017,21700428,1610612745,1610612759,2017,124,0.473,0.8,0.36,20,45,109,0.489,0.538,0.385,22,39,1,5Dimes,19,214.0,-103,233,Pinnacle Sports,238,214.5,-105,117.4,103.4,100.95,96.8,1,0
317,12/15/2017,21700427,1610612743,1610612740,2017,117,0.46,0.643,0.444,30,48,111,0.473,0.714,0.441,27,42,1,5Dimes,19,221.5,-105,228,Pinnacle Sports,238,222.0,-102,110.05,108.85,112.3,112.95,1,0
318,12/15/2017,21700426,1610612749,1610612741,2017,109,0.482,0.69,0.273,24,43,115,0.488,0.657,0.364,24,50,0,Pinnacle Sports,238,205.0,105,224,Bovada,999996,206.0,-110,102.3,102.9,99.45,108.25,1,0
319,12/15/2017,21700424,1610612761,1610612751,2017,120,0.557,0.556,0.25,26,45,87,0.421,0.842,0.304,15,37,1,Pinnacle Sports,238,218.0,-107,207,Heritage,169,219.0,-105,112.45,103.25,105.9,107.95,0,1
320,12/15/2017,21700420,1610612753,1610612757,2017,88,0.381,0.737,0.345,15,45,95,0.43,0.867,0.444,18,45,0,Heritage,169,208.0,-105,183,Pinnacle Sports,238,208.5,-103,102.15,112.1,101.65,102.55,0,1
321,12/15/2017,21700422,1610612764,1610612746,2017,100,0.443,0.652,0.226,21,50,91,0.384,0.621,0.292,17,47,1,Pinnacle Sports,238,208.5,-105,191,Heritage,169,209.0,-105,103.95,103.5,104.55,109.65,0,1
322,12/15/2017,21700421,1610612755,1610612760,2017,117,0.44,0.8,0.283,35,50,119,0.416,0.526,0.429,28,60,0,Pinnacle Sports,238,213.5,-101,236,Bovada,999996,214.0,-105,109.95,109.05,100.05,100.75,1,0
323,12/15/2017,21700419,1610612754,1610612765,2017,98,0.402,0.76,0.3,21,51,104,0.419,0.765,0.406,22,44,0,5Dimes,19,207.5,-108,202,Pinnacle Sports,238,208.0,-105,107.9,106.5,101.8,101.75,0,1
324,12/15/2017,21700418,1610612766,1610612748,2017,98,0.41,0.741,0.37,21,42,104,0.5,0.882,0.355,25,40,0,5Dimes,19,203.5,-102,202,Heritage,169,203.5,-105,105.4,108.6,98.95,102.45,0,1
325,12/15/2017,21700423,1610612738,1610612762,2017,95,0.407,0.842,0.29,20,31,107,0.482,0.778,0.52,19,55,0,Heritage,169,197.0,-105,202,Pinnacle Sports,238,197.0,-101,104.3,100.0,104.4,101.7,1,0
326,12/16/2017,21700436,1610612763,1610612738,2017,93,0.405,0.882,0.412,18,38,102,0.488,0.714,0.467,21,42,0,5Dimes,19,195.0,-102,195,Heritage,169,195.0,-105,95.1,102.45,104.55,101.0,1,1
327,12/16/2017,21700435,1610612759,1610612742,2017,98,0.453,0.833,0.2,14,41,96,0.488,0.889,0.357,23,38,1,Bovada,999996,198.0,-105,194,Pinnacle Sports,238,198.0,-102,101.7,98.15,100.7,102.0,0,1
328,12/16/2017,21700434,1610612750,1610612756,2017,106,0.421,0.708,0.333,21,31,108,0.458,0.886,0.458,22,52,0,Pinnacle Sports,238,217.5,-105,214,Heritage,169,218.0,-105,106.65,104.2,106.65,113.85,0,1
329,12/16/2017,21700431,1610612752,1610612760,2017,111,0.551,0.808,0.609,21,35,96,0.424,0.6,0.444,18,42,1,Heritage,169,202.0,-105,207,Pinnacle Sports,238,202.0,-101,101.85,103.65,101.05,101.45,1,0
330,12/16/2017,21700432,1610612748,1610612746,2017,90,0.378,0.762,0.343,22,37,85,0.438,0.5,0.286,18,46,1,Heritage,169,205.5,-105,175,Pinnacle Sports,238,205.5,100,99.95,103.65,103.55,108.65,0,1
331,12/16/2017,21700430,1610612739,1610612762,2017,109,0.532,0.882,0.455,30,41,100,0.457,0.643,0.5,24,38,1,5Dimes,19,211.5,-108,209,Pinnacle Sports,238,212.0,-105,113.65,105.4,105.35,101.6,0,1
332,12/16/2017,21700429,1610612766,1610612757,2017,91,0.344,0.643,0.226,18,51,93,0.468,0.5,0.417,19,47,0,Pinnacle Sports,238,205.0,104,184,BetOnline,1096,205.5,-108,104.0,107.75,100.9,101.3,0,1
333,12/16/2017,21700433,1610612745,1610612749,2017,115,0.461,0.81,0.314,16,38,111,0.463,0.818,0.296,17,40,1,5Dimes,19,222.0,-104,226,Heritage,169,222.5,-105,116.75,103.35,103.3,103.85,1,0
334,12/17/2017,21700440,1610612764,1610612739,2017,99,0.429,0.563,0.364,20,51,106,0.471,0.833,0.412,24,42,0,5Dimes,19,216.0,-103,205,Pinnacle Sports,238,216.0,-104,103.15,101.95,112.9,104.45,0,1
335,12/17/2017,21700438,1610612765,1610612753,2017,114,0.472,0.813,0.5,27,39,110,0.482,0.647,0.515,27,40,1,Heritage,169,204.0,-105,224,Pinnacle Sports,238,204.5,-104,102.25,101.7,102.4,111.6,1,0
336,12/17/2017,21700437,1610612761,1610612758,2017,108,0.424,0.821,0.433,20,46,93,0.469,0.75,0.423,25,32,1,5Dimes,19,203.0,-104,201,Pinnacle Sports,238,203.0,101,112.6,102.6,96.6,105.55,0,1
337,12/17/2017,21700439,1610612751,1610612754,2017,97,0.42,0.81,0.364,26,29,109,0.566,0.789,0.444,21,43,0,5Dimes,19,220.0,-104,206,Pinnacle Sports,238,219.5,102,104.65,107.75,108.05,105.8,0,1
338,12/18/2017,21700442,1610612754,1610612738,2017,111,0.468,0.789,0.333,14,38,112,0.557,0.571,0.615,26,38,0,5Dimes,19,206.5,-104,223,Pinnacle Sports,238,206.5,-105,107.3,105.3,104.45,101.25,1,0
339,12/18/2017,21700447,1610612760,1610612743,2017,95,0.481,0.667,0.292,13,40,94,0.43,0.667,0.324,21,45,1,Bovada,999996,211.0,-105,189,Pinnacle Sports,238,211.5,-104,101.55,102.3,109.45,108.85,0,1
