GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_againts_average_last10,away_point_average_last10,away_point_againts_average_last10
2017-11-04,21700135,1610612743,1610612744,2017,108.0,0.46,0.815,0.25,26.0,46.0,127.0,0.5489999999999999,0.529,0.45,38.0,41.0,0,Pinnacle Sports,238,232.5,100.0,235.0,5Dimes,19,232.5,-105.0,104.94444444444444,103.23333333333332,118.72619047619048,110.58333333333334
2017-11-05,21700137,1610612746,1610612748,2017,101.0,0.391,0.8,0.29,16.0,50.0,104.0,0.44,0.8420000000000001,0.389,23.0,37.0,0,5Dimes,19,205.0,-101.0,205.0,Pinnacle Sports,238,205.0,-105.0,106.28,105.36,100.21111111111112,105.27777777777776
2017-11-05,21700136,1610612739,1610612737,2017,115.0,0.438,0.913,0.278,27.0,47.0,117.0,0.477,0.706,0.44,24.0,44.0,0,Heritage,169,220.0,-105.0,232.0,Pinnacle Sports,238,220.5,-107.0,105.39583333333334,110.54166666666666,99.62222222222222,106.36666666666667
2017-11-05,21700138,1610612753,1610612738,2017,88.0,0.363,0.889,0.207,18.0,45.0,104.0,0.438,0.75,0.333,26.0,54.0,0,5Dimes,19,209.5,-105.0,192.0,Pinnacle Sports,238,209.5,-102.0,106.4375,102.625,104.02380952380952,94.03571428571428
2017-11-05,21700140,1610612745,1610612762,2017,137.0,0.593,0.857,0.59,26.0,42.0,110.0,0.4320000000000001,0.875,0.382,22.0,33.0,1,Pinnacle Sports,238,205.0,-102.0,247.0,Heritage,169,205.5,-105.0,112.03703703703704,104.07592592592592,101.25714285714284,97.57142857142856
2017-11-05,21700139,1610612761,1610612764,2017,96.0,0.463,0.63,0.208,17.0,36.0,107.0,0.471,0.696,0.478,19.0,46.0,0,5Dimes,19,213.5,-102.0,203.0,Pinnacle Sports,238,213.5,-105.0,107.31089743589745,103.19123931623932,111.58333333333334,108.41666666666666
2017-11-05,21700145,1610612747,1610612763,2017,107.0,0.471,0.7829999999999999,0.333,25.0,46.0,102.0,0.46,0.7859999999999999,0.297,23.0,39.0,1,Pinnacle Sports,238,206.5,-107.0,209.0,Heritage,169,207.0,-105.0,102.1,108.80555555555554,102.18888888888888,96.54444444444444
2017-11-05,21700141,1610612759,1610612756,2017,112.0,0.5,0.722,0.5,21.0,43.0,95.0,0.457,0.591,0.348,23.0,45.0,1,Pinnacle Sports,238,211.5,-100.0,207.0,Heritage,169,211.5,-105.0,101.57142857142858,100.28571428571428,106.52380952380952,116.0952380952381
2017-11-05,21700143,1610612750,1610612766,2017,112.0,0.458,0.867,0.417,20.0,54.0,94.0,0.416,0.524,0.321,24.0,40.0,1,Pinnacle Sports,238,218.5,-100.0,206.0,5Dimes,19,218.0,-105.0,109.3,112.4,103.92857142857144,103.57142857142856
2017-11-05,21700142,1610612752,1610612754,2017,108.0,0.5,0.737,0.261,24.0,46.0,101.0,0.468,0.882,0.48,24.0,34.0,1,5Dimes,19,216.0,-105.0,209.0,Pinnacle Sports,238,216.0,-102.0,100.25,107.7875,108.24872448979592,104.59183673469389
