GAME_DATE_EST,game_id,home_team,away_team,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,book_name_over,book_id_over,total1_over,over_odds,PTS_comb_actual,book_name_under,book_id_under,total1_under,under_odds,point_average_last10,point_against_average_last10,away_point_average_last10,away_point_against_average_last10,avgpointtotal_home,avgpointtotal_away,meanpointtotal,diff
11/4/2017,21700133,1610612741,1610612740,2017,90,0.354,0.75,0.262,23,58,96,0.402,0.773,0.29,23,52,0,Heritage,169,199.0,-105,186,Pinnacle Sports,238,199.5,-100,95.83333333,103.3095238,105.9,109.6625,199.14285712999998,215.5625,207.352678565,-16.41964287000002
11/4/2017,21700134,1610612750,1610612742,2017,112,0.544,0.8,0.417,33,48,99,0.46,0.75,0.37,18,31,1,Pinnacle Sports,238,214.0,-102,211,5Dimes,19,214.0,-103,107.84375,106.0,99.06349206,104.1269841,213.84375,203.19047616,208.51711308,10.653273839999997
11/4/2017,21700135,1610612743,1610612744,2017,108,0.46,0.815,0.25,26,46,127,0.549,0.529,0.45,38,41,0,Pinnacle Sports,238,232.5,100,235,5Dimes,19,232.5,-105,104.9444444,103.2333333,118.7261905,110.5833333,208.17777769999998,229.30952380000002,218.74365075,-21.131746100000043
11/5/2017,21700137,1610612746,1610612748,2017,101,0.391,0.8,0.29,16,50,104,0.44,0.842,0.389,23,37,0,5Dimes,19,205.0,-101,205,Pinnacle Sports,238,205.0,-105,106.28,105.36,100.2111111,105.2777778,211.64,205.4888889,208.56444445,6.15111109999998
11/5/2017,21700136,1610612739,1610612737,2017,115,0.438,0.913,0.278,27,47,117,0.477,0.706,0.44,24,44,0,Heritage,169,220.0,-105,232,Pinnacle Sports,238,220.5,-107,105.3958333,110.5416667,99.62222222,106.3666667,215.9375,205.98888892,210.96319446,9.948611080000006
11/5/2017,21700138,1610612753,1610612738,2017,88,0.363,0.889,0.207,18,45,104,0.438,0.75,0.333,26,54,0,5Dimes,19,209.5,-105,192,Pinnacle Sports,238,209.5,-102,106.4375,102.625,104.0238095,94.03571429,209.0625,198.05952379000001,203.561011895,11.002976209999986
11/5/2017,21700140,1610612745,1610612762,2017,137,0.593,0.857,0.59,26,42,110,0.432,0.875,0.382,22,33,1,Pinnacle Sports,238,205.0,-102,247,Heritage,169,205.5,-105,112.037037,104.0759259,101.2571429,97.57142857,216.1129629,198.82857146999999,207.470767185,17.284391430000028
11/5/2017,21700139,1610612761,1610612764,2017,96,0.463,0.63,0.208,17,36,107,0.471,0.696,0.478,19,46,0,5Dimes,19,213.5,-102,203,Pinnacle Sports,238,213.5,-105,107.3108974,103.1912393,111.5833333,108.4166667,210.5021367,220.0,215.25106835,-9.497863300000006
11/5/2017,21700145,1610612747,1610612763,2017,107,0.471,0.783,0.333,25,46,102,0.46,0.786,0.297,23,39,1,Pinnacle Sports,238,206.5,-107,209,Heritage,169,207.0,-105,102.1,108.8055556,102.1888889,96.54444444,210.9055556,198.73333334,204.81944447,12.172222260000012
11/5/2017,21700141,1610612759,1610612756,2017,112,0.5,0.722,0.5,21,43,95,0.457,0.591,0.348,23,45,1,Pinnacle Sports,238,211.5,-100,207,Heritage,169,211.5,-105,101.5714286,100.2857143,106.5238095,116.0952381,201.85714289999999,222.6190476,212.23809525,-20.761904700000002
11/5/2017,21700143,1610612750,1610612766,2017,112,0.458,0.867,0.417,20,54,94,0.416,0.524,0.321,24,40,1,Pinnacle Sports,238,218.5,-100,206,5Dimes,19,218.0,-105,109.3,112.4,103.9285714,103.5714286,221.7,207.5,214.6,14.199999999999989
11/5/2017,21700142,1610612752,1610612754,2017,108,0.5,0.737,0.261,24,46,101,0.468,0.882,0.48,24,34,1,5Dimes,19,216.0,-105,209,Pinnacle Sports,238,216.0,-102,100.25,107.7875,108.2487245,104.5918367,208.0375,212.8405612,210.4390306,-4.803061200000002
